name,read,total,source,field,isEmpty
羊,Yáng,约 10 万,羊姓源出祁姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、江苏、安徽、浙江等地,
於,Yū,约 2 万,於姓源出黄帝臣於则和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
惠,Huì,约 45 万,惠姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、山东、河南等地,
甄,Zhēn,约 45 万,甄姓源出姚姓和官职，是一个多民族、多源流的姓氏。,主要分布于河北、河南、山东、山西、陕西等地,
麴,Qū,约 1 万,麴姓源出官职和地名，是一个多民族、多源流的姓氏。,主要分布于甘肃、陕西、河南、山东、河北等地,
家,Jiā,约 5 万,家姓源出姬姓，为周考王的后裔。,主要分布于陕西、山西、河南、山东、河北等地,
封,Fēng,约 40 万,封姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于河北、河南、山东、山西、陕西等地,
芮,Ruì,约 20 万,芮姓源出姬姓，为周武王封卿士姬良夫于芮的后裔。,主要分布于山西、陕西、河南、河北、山东等地,
羿,Yì,约 1 万,羿姓源出有穷氏，为夏朝东夷族有穷氏部落首领后羿的后裔。,主要分布于江苏、安徽、浙江、山东、河南等地,
储,Chǔ,约 20 万,储姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、江西、湖南等地,
靳,Jìn,约 100 万,靳姓源出芈姓，为春秋时期楚国大夫靳尚的后裔。,主要分布于河南、河北、山东、山西、陕西等地,
汲,Jí,约 10 万,汲姓源出姬姓，为春秋时期卫国大夫汲黯的后裔。,主要分布于河南、山东、河北、山西、陕西等地,
邴,Bǐng,约 5 万,邴姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
糜,Mí,约 2 万,糜姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、浙江、江西、湖南等地,
松,Sōng,约 12 万,松姓源出秦朝，为秦始皇封松为五大夫的后裔。,主要分布于江苏、安徽、浙江、山东、河南等地,
井,Jǐng,约 27 万,井姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于陕西、山西、河南、河北、山东等地,
段,Duàn,约 300 万,段姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于云南、四川、河南、山东、河北等地,
富,Fù,约 40 万,富姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、山西、陕西等地,
巫,Wū,约 5 万,巫姓源出上古，为巫彭、巫咸的后裔。,主要分布于江苏、浙江、安徽、江西、福建等地,
乌,Wū,约 15 万,乌姓源出金天氏和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
焦,Jiāo,约 60 万,焦姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
巴,Bā,约 20 万,巴姓源出姬姓和少数民族，是一个多民族、多源流的姓氏。,主要分布于四川、重庆、湖南、湖北、贵州等地,
弓,Gōng,约 1 万,弓姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
牧,Mù,约 5 万,牧姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、江苏、安徽等地,
隗,Kuí,约 6 万,隗姓源出赤狄和姬姓，是一个多民族、多源流的姓氏。,主要分布于河北、山西、河南、山东、陕西等地,
山,Shān,约 12 万,山姓源出烈山氏和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
谷,Gǔ,约 100 万,谷姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
车,Chē,约 60 万,车姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
侯,Hóu,约 400 万,侯姓源出姬姓和姒姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
宓,Fú,约 3 万,宓姓源出伏羲氏和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、江苏、安徽等地,
蓬,Péng,约 15 万,蓬姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、江西、湖南等地,
全,Quán,约 40 万,全姓源出泉姓和官职，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
郗,Xī,约 5 万,郗姓源出姬姓，为周文王之子郗伯的后裔。,主要分布于江苏、安徽、山东、河北、浙江等地,
班,Bān,约 27 万,班姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
仰,Yǎng,约 2 万,仰姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、江苏、安徽等地,
秋,Qiū,约 10 万,秋姓源出子姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
仲,Zhòng,约 35 万,仲姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
伊,Yī,约 20 万,伊姓源出伊祁氏和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
宫,Gōng,约 28 万,宫姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、江苏、安徽等地,
宁,Nìng,约 80 万,宁姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于辽宁、吉林、黑龙江、河北、山东等地,
仇,Qiú,约 53 万,仇姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、山东、河南等地,
栾,Luán,约 40 万,栾姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
暴,Bào,约 2 万,暴姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
甘,Gān,约 15 万,甘姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、江苏、安徽等地,
钭,Tǒu,约 5 万,钭姓源出姜姓，为春秋时期齐国大夫钭滔的后裔。,主要分布于浙江、江苏、安徽、江西、湖南等地,
厉,Lì,约 20 万,厉姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东、河南等地,
戎,Róng,约 15 万,戎姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
祖,Zǔ,约 40 万,祖姓源出子姓，为商朝王室的后裔。,主要分布于河北、山东、河南、江苏、安徽等地,
武,Wǔ,约 220 万,武姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、山西、陕西等地,
符,Fú,约 100 万,符姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于海南、广东、广西、福建、浙江等地,
刘,Liú,约 7000 万,刘姓源出祁姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、四川、湖南等地,
景,Jǐng,约 80 万,景姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河北、山东、河南、山西、陕西等地,
詹,Zhān,约 100 万,詹姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于福建、台湾、广东、江西、浙江等地,
束,Shù,约 15 万,束姓源出妫姓，为春秋时期齐国大夫束晳的后裔。,主要分布于江苏、安徽、浙江、江西、湖南等地,
龙,Lóng,约 280 万,龙姓源出御龙氏和地名，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、江西、四川、重庆等地,
叶,Yè,约 700 万,叶姓源出芈姓，为春秋时期楚国叶公沈诸梁的后裔。,主要分布于广东、福建、浙江、台湾、江苏等地,
幸,Xìng,约 8 万,幸姓源出宠臣和地名，是一个多民族、多源流的姓氏。,主要分布于江西、湖南、湖北、安徽、江苏等地,
司,Sī,约 15 万,司姓源出官职和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、山西、陕西等地,
韶,Sháo,约 10 万,韶姓源出虞舜和地名，是一个多民族、多源流的姓氏。,主要分布于广东、湖南、江西、浙江等地。,
郜,Gào,约 15 万,郜姓源出姬姓，为周文王之子郜叔的后裔。,主要分布于河南、山东、江苏、安徽等地。,
黎,Lí,约 200 万,黎姓源出九黎和姬姓，是一个多民族、多源流的姓氏。,主要分布于广东、广西、江西、湖南、河南等地。,
蓟,Jì,约 2 万,蓟姓源出姬姓，为周武王封黄帝之后于蓟的后裔。,主要分布于北京、河北、天津、山东等地。,
薄,Bó,约 15 万,薄姓源出姜姓和子姓，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、山西、河北等地。,
印,Yìn,约 10 万,印姓源出子姓，为春秋时期郑国大夫印段的后裔。,主要分布于浙江、江苏、上海、安徽等地。,
宿,Sù,约 12 万,宿姓源出风姓，为伏羲氏的后裔。,主要分布于山东、江苏、河南、安徽等地。,
白,Bái,约 400 万,白姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山西、陕西、云南等地。,
怀,Huái,约 15 万,怀姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、江苏等地。,
蒲,Pú,约 100 万,蒲姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于四川、重庆、陕西、甘肃、湖北等地。,
邰,Tái,约 21 万,邰姓源出姜姓，为后稷的后裔。,主要分布于陕西、甘肃、河南、山东等地。,
从,Cóng,约 20 万,从姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、山东、浙江等地。,
鄂,È,约 30 万,鄂姓源出姞姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖北、河南、安徽、山东等地。,
索,Suǒ,约 17 万,索姓源出子姓，为商朝七族之一。,主要分布于甘肃、宁夏、河南、河北等地。,
咸,Xián,约 8 万,咸姓源出高辛氏和地名，是一个多民族、多源流的姓氏。,主要分布于陕西、山西、山东、河北等地。,
籍,Jí,约 4 万,籍姓源出姬姓，为春秋时期晋国大夫籍谈的后裔。,主要分布于山西、陕西、河南、河北等地。,
赖,Lài,约 250 万,赖姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于广东、江西、福建、台湾、河南等地。,
卓,Zhuó,约 50 万,卓姓源出芈姓，为春秋时期楚国大夫卓滑的后裔。,主要分布于广东、福建、浙江、江西、台湾等地。,
蔺,Lìn,约 20 万,蔺姓源出姬姓，为春秋时期晋国大夫蔺康的后裔。,主要分布于陕西、山西、河北、河南等地。,
屠,Tú,约 25 万,屠姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东等地。,
蒙,Méng,约 60 万,蒙姓源出高阳氏和姬姓，是一个多民族、多源流的姓氏。,主要分布于广西、山东、河南、安徽等地。,
池,Chí,约 50 万,池姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于广东、浙江、福建、台湾等地。,
乔,Qiáo,约 240 万,乔姓源出姬姓和匈奴，是一个多民族、多源流的姓氏。,主要分布于河南、山东、江苏、山西等地。,
阴,Yīn,约 12 万,阴姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、陕西、甘肃、湖北等地。,
郁,Yù,约 40 万,郁姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、上海、江苏、山东等地。,
胥,Xū,约 8 万,胥姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于四川、江苏、河南、山东等地。,
能,Nài,约 5 万,能姓源出芈姓，为春秋时期楚国熊挚的后裔。,主要分布于广西、湖南、湖北、浙江等地。,
苍,Cāng,约 2 万,苍姓源出姬姓和高阳氏，是一个多民族、多源流的姓氏。,主要分布于河南、山东、陕西、江西等地。,
双,Shuāng,约 10 万,双姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、黑龙江等地。,
闻,Wén,约 30 万,闻姓源出复姓闻人氏，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、湖北、福建等地。,
莘,Shēn,约 1 万,莘姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于陕西、山东、河南、河北等地。,
党,Dǎng,约 400 万,党姓源出姬姓和羌族，是一个多民族、多源流的姓氏。,主要分布于陕西、山西、甘肃、河南等地。,
翟,Zhái,约 170 万,翟姓源出隗姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、安徽等地。,
谭,Tán,约 500 万,谭姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于广东、湖南、四川、江西等地。,
贡,Gòng,约 12 万,贡姓源出端木赐和官职，是一个多民族、多源流的姓氏。,主要分布于江苏、安徽、山东、河北等地。,
劳,Láo,约 40 万,劳姓源出东夷和地名，是一个多民族、多源流的姓氏。,主要分布于山东、浙江、广东、辽宁等地。,
逄,Páng,约 10 万,逄姓源出姜姓，为炎帝的后裔。,主要分布于山东、辽宁、吉林、黑龙江等地。,
姬,Jī,约 54 万,姬姓是黄帝的姓氏，也是周朝的国姓。,主要分布于河南、山东、山西、陕西等地。,
申,Shēn,约 170 万,申姓源出姜姓，为炎帝的后裔。,主要分布于河南、河北、山东、山西等地。,
扶,Fú,约 5 万,扶姓源出上古三皇之首伏羲氏和官职，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、河南、江西等地。,
堵,Dǔ,约 5 万,堵姓源出姬姓，为春秋时期郑国大夫堵叔的后裔。,主要分布于河南、河北、江苏等地。,
冉,Rǎn,约 60 万,冉姓源出姬姓和高辛氏，是一个多民族、多源流的姓氏。,主要分布于重庆、四川、贵州、山东等地。,
宰,Zǎi,约 5 万,宰姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、江苏等地。,
郦,Lì,约 30 万,郦姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽等地。,
雍,Yōng,约 15 万,雍姓源出姬姓，为周文王第十三子雍伯的后裔。,主要分布于陕西、江苏、四川等地。,
郤,Xì,约 2 万,郤姓源出姬姓，为春秋时期晋国公族郤献子的后裔。,主要分布于山西、河北、河南等地。,
璩,Qú,约 1 万,璩姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江西、安徽、浙江等地。,
桑,Sāng,约 20 万,桑姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、浙江等地。,
桂,Guì,约 55 万,桂姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、广西、浙江、江苏等地。,
濮,Pú,约 20 万,濮姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、江苏等地。,
牛,Niú,约 200 万,牛姓源出子姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、安徽等地。,
寿,Shòu,约 11 万,寿姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地。,
通,Tōng,约 12 万,通姓源出巴国和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、湖北等地。,
边,Biān,约 40 万,边姓源出子姓和官职，是一个多民族、多源流的姓氏。,主要分布于河北、山东、浙江等地。,
扈,Hù,约 28 万,扈姓源出姒姓，为夏朝诸侯扈氏的后裔。,主要分布于陕西、山东、河南等地。,
燕,Yān,约 100 万,燕姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于河北、山东、辽宁、黑龙江等地。,
冀,Jì,约 20 万,冀姓源出伊祁氏和地名，是一个多民族、多源流的姓氏。,主要分布于河北、山西、河南等地。,
郏,Jiá,约 10 万,郏姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、江苏、上海等地。,
浦,Pǔ,约 22 万,浦姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于上海、江苏、浙江、安徽等地。,
尚,Shàng,约 120 万,尚姓源出姜姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、内蒙古等地。,
农,Nóng,约 40 万,农姓源出神农氏和官职，是一个多民族、多源流的姓氏。,主要分布于广西、广东、湖南、云南等地,
温,Wēn,约 190 万,温姓源出姬姓和郤姓，是一个多民族、多源流的姓氏。,主要分布于广东、江西、福建、浙江、山西等地,
别,Bié,约 15 万,别姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于湖北、河南、河北、安徽等地,
庄,Zhuāng,约 200 万,庄姓源出芈姓和子姓，是一个多民族、多源流的姓氏。,主要分布于广东、福建、浙江、台湾、江苏等地,
晏,Yàn,约 60 万,晏姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于江西、湖北、湖南、四川、安徽等地,
柴,Chái,约 100 万,柴姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、山西、河南、河北、浙江等地,
瞿,Qú,约 40 万,瞿姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、四川、重庆、江苏等地,
阎,Yán,约 70 万,阎姓源出姬姓和芈姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、山西、河北、陕西等地,
充,Chōng,约 10 万,充姓源出姜姓和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、安徽、江苏等地,
慕,Mù,约 20 万,慕姓源出鲜卑族和慕容氏，是一个多民族、多源流的姓氏。,主要分布于甘肃、陕西、河南、宁夏、山东等地,
连,Lián,约 45 万,连姓源出姜姓和芈姓，是一个多民族、多源流的姓氏。,主要分布于福建、台湾、广东、浙江、江苏等地,
茹,Rú,约 20 万,茹姓源出柔然族和如姓，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山西、陕西、浙江等地,
习,Xí,约 10 万,习姓源出少习国和地名，是一个多民族、多源流的姓氏。,主要分布于陕西、河南、湖北、江西、四川等地,
宦,Huàn,约 5 万,宦姓源出阉宦和官职，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽、福建等地,
艾,Ài,约 60 万,艾姓源出夏代君主少康的大臣汝艾和地名，是一个多民族、多源流的姓氏。,主要分布于江西、湖南、湖北、四川、河南等地,
鱼,Yú,约 15 万,鱼姓源出子姓，为春秋时期宋国司马子鱼的后裔。,主要分布于陕西、河南、山东、河北、江苏等地,
容,Róng,约 24 万,容姓源出高阳氏和官职，是一个多民族、多源流的姓氏。,主要分布于广东、广西、湖南、江西、江苏等地,
向,Xiàng,约 140 万,向姓源出子姓和姜姓，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、河南、重庆、四川等地,
古,Gǔ,约 50 万,古姓源出姬姓和姑姓，是一个多民族、多源流的姓氏。,主要分布于广东、江西、福建、湖南、河南等地,
易,Yì,约 170 万,易姓源出姜姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、江西、四川、重庆等地,
慎,Shèn,约 8 万,慎姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、山东等地。,
戈,Gē,约 15 万,戈姓源出夏朝和地名，是一个多民族、多源流的姓氏。,主要分布于河北、河南、江苏、浙江等地。,
廖,Liào,约 490 万,廖姓源出己姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于广东、广西、湖南、四川等地。,
庾,Yǔ,约 10 万,庾姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于江西、河南、湖北、安徽等地。,
终,Zhōng,约 10 万,终姓源出陆终氏和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、陕西、江苏等地。,
暨,Jì,约 10 万,暨姓源出彭姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽、福建等地。,
居,Jū,约 15 万,居姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、山东、江苏、浙江等地。,
衡,Héng,约 30 万,衡姓源出伊祁氏和官职，是一个多民族、多源流的姓氏。,主要分布于湖南、江西、河南、河北等地。,
步,Bù,约 10 万,步姓源出姬姓和鲜卑族，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、河南、山东等地。,
都,Dōu,约 26 万,都姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、浙江、江苏等地。,
耿,Gěng,约 110 万,耿姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于河北、河南、江苏、安徽等地。,
满,Mǎn,约 16 万,满姓源出妫姓和胡姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、湖南、安徽等地。,
弘,Hóng,约 10 万,弘姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、河南、陕西等地。,
匡,Kuāng,约 30 万,匡姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖南、江西、湖北、安徽等地。,
国,Guó,约 27 万,国姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北、辽宁等地。,
文,Wén,约 300 万,文姓源出姬姓和姜姓，是一个多民族、多源流的姓氏。,主要分布于湖南、四川、广东、江西等地。,
寇,Kòu,约 25 万,寇姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东、陕西等地。,
广,Guǎng,约 12 万,广姓源出姜姓和官职，是一个多民族、多源流的姓氏。,主要分布于广西、广东、湖南、湖北等地。,
禄,Lù,约 10 万,禄姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北、江苏等地。,
阙,Quē,约 10 万,阙姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于福建、浙江、江西、安徽等地。,
东,Dōng,约 20 万,东姓源出伏羲氏和官职，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、黑龙江等地。,
欧,Ōu,约 320 万,欧姓源出姒姓和欧冶氏，是一个多民族、多源流的姓氏。,主要分布于广东、湖南、江西等地。,
殳,Shū,约 5 万,殳姓源出姜姓和官职，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、上海等地。,
沃,Wò,约 10 万,沃姓源出子姓，为商王沃丁的后裔。,主要分布于浙江、上海、北京等地。,
利,Lì,约 8 万,利姓源出理姓和地名，是一个多民族、多源流的姓氏。,主要分布于广东、广西、江西等地。,
蔚,Yù,约 12 万,蔚姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河北、山西、内蒙古等地。,
越,Yuè,约 25 万,越姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地。,
夔,Kuí,约 1 万,夔姓源出芈姓，为春秋时期楚国公族的后裔。,主要分布于重庆、四川、湖北等地。,
隆,Lóng,约 13 万,隆姓源出地名和少数民族，是一个多民族、多源流的姓氏。,主要分布于湖南、江西、湖北等地。,
师,Shī,约 12 万,师姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东等地。,
巩,Gǒng,约 12 万,巩姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北等地。,
厍,Shè,约 2 万,厍姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于陕西、山西、甘肃等地。,
聂,Niè,约 140 万,聂姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖南、江西、湖北等地。,
晁,Cháo,约 30 万,晁姓源出姬姓和子姓，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北等地。,
勾,Gōu,约 15 万,勾姓源出姒姓和地名，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地。,
敖,áo,约 25 万,敖姓源出芈姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于湖南、湖北、四川等地。,
融,Róng,约 15 万,融姓源出高阳氏和官职，是一个多民族、多源流的姓氏。,主要分布于湖南、江西、江苏等地。,
冷,Lěng,约 10 万,冷姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于四川、湖南、陕西等地。,
訾,Zī,约 10 万,訾姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、山东、河北等地。,
辛,Xīn,约 60 万,辛姓源出姒姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于山东、辽宁、吉林等地。,
阚,Kàn,约 25 万,阚姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、安徽等地。,
那,Nā,约 18 万,那姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、云南等地。,
简,Jiǎn,约 110 万,简姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于四川、广东、湖南等地。,
饶,Ráo,约 70 万,饶姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于江西、福建、湖北等地。,
空,Kōng,约 1 万,空姓源出古空侯氏和地名，是一个多民族、多源流的姓氏。,主要分布于河南、陕西、山东等地。,
曾,Zēng,约 700 万,曾姓源出姒姓，为夏禹的后裔。,主要分布于广东、江西、湖南、福建等地。,
毋,Wú,约 5 万,毋姓源出田姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北等地。,
沙,Shā,约 40 万,沙姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、云南、四川等地。,
乜,Niè,约 5 万,乜姓源出姬姓和少数民族，是一个多民族、多源流的姓氏。,主要分布于河北、山东、山西等地。,
养,Yǎng,约 1 万,养姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、安徽、江苏等地。,
鞠,Jū,约 20 万,鞠姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、辽宁、黑龙江等地。,
须,Xū,约 1 万,须姓源出风姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、浙江、江苏等地。,
丰,Fēng,约 30 万,丰姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、安徽等地。,
巢,Cháo,约 12 万,巢姓源出有巢氏和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、江西、江苏等地。,
关,Guān,约 110 万,关姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于辽宁、吉林、黑龙江、河南等地。,
蒯,Kuǎi,约 10 万,蒯姓源出姬姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖北、江苏、河南等地。,
相,Xiāng,约 16 万,相姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于河南、河北、山东等地。,
查,Zhā,约 100 万,查姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于安徽、江苏、浙江等地。,
后,Hòu,约 8 万,后姓源出太昊氏和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、山东、河北等地。,
荆,Jīng,约 40 万,荆姓源出芈姓，为楚国的旧称。,主要分布于湖北、湖南、江西等地。,
红,Hóng,约 14 万,红姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于江苏、浙江、江西等地。,
游,Yóu,约 10 万,游姓源出姬姓，为春秋时期郑国公子游吉的后裔。,主要分布于福建、台湾、江西等地。,
竺,Zhú,约 13 万,竺姓源出竹姓和天竺国，是一个多民族、多源流的姓氏。,主要分布于浙江、江苏、安徽等地。,
权,Quán,约 20 万,权姓源出子姓和地名，是一个多民族、多源流的姓氏。,主要分布于湖北、甘肃、河南等地。,
逯,Lù,约 20 万,逯姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北等地。,
盖,Gài,约 25 万,盖姓源出姜姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、河北、东北等地。,
益,Yì,约 10 万,益姓源出嬴姓和地名，是一个多民族、多源流的姓氏。,主要分布于山东、江苏、浙江等地。,
桓,Huán,约 15 万,桓姓源出子姓和姬姓，是一个多民族、多源流的姓氏。,主要分布于安徽、江苏、山东等地。,
公,Gōng,约 2 万,公姓源出姬姓和官职，是一个多民族、多源流的姓氏。,主要分布于山东、河南、河北等地。,
万俟,Mò Qí,人口不详,万俟姓源出鲜卑族拓跋氏，是一个少数民族复姓。,主要分布于河南、山东、安徽等地。,
